datetime,elec_value
2021-04-04 16:00:00,343.527
2021-04-04 17:00:00,351.035
2021-04-04 18:00:00,350.93
2021-04-04 19:00:00,351.953
2021-04-04 20:00:00,370.779
2021-04-04 21:00:00,372.906
2021-04-04 22:00:00,365.966
2021-04-04 23:00:00,350.503
2021-04-05 00:00:00,350.407
2021-04-05 01:00:00,345.268
2021-04-05 02:00:00,346.013
2021-04-05 03:00:00,340.852
2021-04-05 04:00:00,336.371
2021-04-05 05:00:00,328.082
2021-04-05 06:00:00,329.019
2021-04-05 07:00:00,312.915
2021-04-05 08:00:00,317.821
2021-04-05 09:00:00,325.002
2021-04-05 10:00:00,340.404
2021-04-05 11:00:00,340.165
2021-04-05 12:00:00,327.112
2021-04-05 13:00:00,338.379
2021-04-05 14:00:00,355.611
2021-04-05 15:00:00,349.008
2021-04-05 16:00:00,376.962
2021-04-05 17:00:00,384.371
2021-04-05 18:00:00,376.242
2021-04-05 19:00:00,369.448
2021-04-05 20:00:00,386.759
2021-04-05 21:00:00,378.916
2021-04-05 22:00:00,379.794
2021-04-05 23:00:00,372.269
2021-04-06 00:00:00,371.657
2021-04-06 01:00:00,370.157
2021-04-06 02:00:00,376.016
2021-04-06 03:00:00,378.201
2021-04-06 04:00:00,370.178
2021-04-06 05:00:00,374.046
2021-04-06 06:00:00,363.581
2021-04-06 07:00:00,344.304
2021-04-06 08:00:00,338.82
2021-04-06 09:00:00,340.435
2021-04-06 10:00:00,352.499
2021-04-06 11:00:00,351.56
2021-04-06 12:00:00,342.351
2021-04-06 13:00:00,353.615
2021-04-06 14:00:00,374.89
2021-04-06 15:00:00,364.002
2021-04-06 16:00:00,380.639
2021-04-06 17:00:00,397.785
2021-04-06 18:00:00,394.863
2021-04-06 19:00:00,386.53
2021-04-06 20:00:00,391.721
2021-04-06 21:00:00,402.35
2021-04-06 22:00:00,399.901
2021-04-06 23:00:00,386.668
2021-04-07 00:00:00,379.989
2021-04-07 01:00:00,370.849
2021-04-07 02:00:00,373.757
2021-04-07 03:00:00,383.17
2021-04-07 04:00:00,378.638
2021-04-07 05:00:00,376.858
2021-04-07 06:00:00,371.306
2021-04-07 07:00:00,341.051
2021-04-07 08:00:00,337.663
2021-04-07 09:00:00,343.924
2021-04-07 10:00:00,363.332
2021-04-07 11:00:00,366.718
2021-04-07 12:00:00,347.147
2021-04-07 13:00:00,358.217
2021-04-07 14:00:00,363.416
2021-04-07 15:00:00,359.708
2021-04-07 16:00:00,380.834
2021-04-07 17:00:00,401.638
2021-04-07 18:00:00,395.724
2021-04-07 19:00:00,386.132
2021-04-07 20:00:00,387.672
2021-04-07 21:00:00,397.796
2021-04-07 22:00:00,376.243
2021-04-07 23:00:00,383.471
2021-04-08 00:00:00,374.649
2021-04-08 01:00:00,385.315
2021-04-08 02:00:00,378.054
2021-04-08 03:00:00,382.621
2021-04-08 04:00:00,374.945
2021-04-08 05:00:00,382.337
2021-04-08 06:00:00,362.026
2021-04-08 07:00:00,348.941
2021-04-08 08:00:00,326.006
2021-04-08 09:00:00,338.8
2021-04-08 10:00:00,332.588
2021-04-08 11:00:00,341.906
2021-04-08 12:00:00,328.517
2021-04-08 13:00:00,342.198
2021-04-08 14:00:00,352.555
2021-04-08 15:00:00,353.704
2021-04-08 16:00:00,367.339
2021-04-08 17:00:00,378.432
2021-04-08 18:00:00,376.777
2021-04-08 19:00:00,359.978
2021-04-08 20:00:00,376.176
2021-04-08 21:00:00,380.478
2021-04-08 22:00:00,368.852
2021-04-08 23:00:00,362.386
2021-04-09 00:00:00,352.513
2021-04-09 01:00:00,357.511
2021-04-09 02:00:00,354.623
2021-04-09 03:00:00,363.804
2021-04-09 04:00:00,355.49
2021-04-09 05:00:00,353.2
2021-04-09 06:00:00,343.214
2021-04-09 07:00:00,315.743
2021-04-09 08:00:00,312.808
2021-04-09 09:00:00,337.07
2021-04-09 10:00:00,335.703
2021-04-09 11:00:00,344.413
2021-04-09 12:00:00,329.389
2021-04-09 13:00:00,338.8
2021-04-09 14:00:00,344.966
2021-04-09 15:00:00,347.446
2021-04-09 16:00:00,354.692
2021-04-09 17:00:00,377.416
2021-04-09 18:00:00,374.114
2021-04-09 19:00:00,362.393
2021-04-09 20:00:00,356.893
2021-04-09 21:00:00,363.707
2021-04-09 22:00:00,356.345
2021-04-09 23:00:00,361.645
